,demand_forecast
2023-01-29 04:00:00,8085.848
2023-01-29 05:00:00,8096.16
2023-01-29 06:00:00,8273.065
2023-01-29 07:00:00,8414.289
2023-01-29 08:00:00,8776.757
2023-01-29 09:00:00,9497.455
2023-01-29 10:00:00,10035.179
2023-01-29 11:00:00,10146.205
2023-01-29 12:00:00,10041.812
2023-01-29 13:00:00,9757.543
2023-01-29 14:00:00,9519.729
2023-01-29 15:00:00,9511.067
2023-01-29 16:00:00,9460.571
2023-01-29 17:00:00,10205.524
2023-01-29 18:00:00,10374.717
2023-01-29 19:00:00,10345.414
2023-01-29 20:00:00,9779.962
2023-01-29 21:00:00,9540.191
2023-01-29 22:00:00,9228.7705
2023-01-29 23:00:00,8943.797
2023-01-30 00:00:00,8524.812
2023-01-30 01:00:00,8571.692
2023-01-30 02:00:00,8625.366
2023-01-30 03:00:00,8662.387
2023-01-30 04:00:00,8957.716
2023-01-30 05:00:00,9694.719
2023-01-30 06:00:00,10758.275
2023-01-30 07:00:00,11634.1875
2023-01-30 08:00:00,12172.596
2023-01-30 09:00:00,12479.704
2023-01-30 10:00:00,12738.289
2023-01-30 11:00:00,12776.159
2023-01-30 12:00:00,12809.846
2023-01-30 13:00:00,12788.383
2023-01-30 14:00:00,12554.641
2023-01-30 15:00:00,12345.744
2023-01-30 16:00:00,12342.404
2023-01-30 17:00:00,12793.241
2023-01-30 18:00:00,13012.526
2023-01-30 19:00:00,12933.935
2023-01-30 20:00:00,11844.588
2023-01-30 21:00:00,11198.883
2023-01-30 22:00:00,10664.669
2023-01-30 23:00:00,10276.9
2023-01-31 00:00:00,9739.868
2023-01-31 01:00:00,9552.336
2023-01-31 02:00:00,9403.701
2023-01-31 03:00:00,9357.549
2023-01-31 04:00:00,9752.383
2023-01-31 05:00:00,10262.787
2023-01-31 06:00:00,11143.375
2023-01-31 07:00:00,11927.3955
2023-01-31 08:00:00,12373.084
2023-01-31 09:00:00,12665.302
2023-01-31 10:00:00,13014.763
2023-01-31 11:00:00,13237.887
2023-01-31 12:00:00,13272.194
2023-01-31 13:00:00,13189.076
2023-01-31 14:00:00,12826.562
2023-01-31 15:00:00,12477.761
2023-01-31 16:00:00,12463.602
2023-01-31 17:00:00,12933.844
2023-01-31 18:00:00,13057.187
2023-01-31 19:00:00,12948.58
2023-01-31 20:00:00,12045.404
2023-01-31 21:00:00,11351.991
2023-01-31 22:00:00,10802.292
2023-01-31 23:00:00,10470.664
2023-02-01 00:00:00,9705.241
2023-02-01 01:00:00,9060.33
2023-02-01 02:00:00,8889.153
2023-02-01 03:00:00,8889.361
2023-02-01 04:00:00,9073.004
2023-02-01 05:00:00,9788.156
2023-02-01 06:00:00,10614.987
2023-02-01 07:00:00,11476.357
2023-02-01 08:00:00,12058.291
2023-02-01 09:00:00,12237.569
2023-02-01 10:00:00,12376.955
2023-02-01 11:00:00,12360.1875
2023-02-01 12:00:00,12358.517
2023-02-01 13:00:00,12270.068
2023-02-01 14:00:00,12091.201
2023-02-01 15:00:00,11853.054
2023-02-01 16:00:00,11841.309
2023-02-01 17:00:00,12103.373
2023-02-01 18:00:00,12242.611
2023-02-01 19:00:00,12145.101
2023-02-01 20:00:00,11463.056
2023-02-01 21:00:00,10672.488
2023-02-01 22:00:00,10218.791
2023-02-01 23:00:00,9796.319
2023-02-02 00:00:00,9298.423
2023-02-02 01:00:00,8828.766
2023-02-02 02:00:00,8754.044
2023-02-02 03:00:00,8782.047
